Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-17 14:39:12,1328709278899703814,False,"@AishwaryVerma9 No doubt AAP is after after 2017 Punjab loss.

But for Goa was not.",thegreat_amit,"New Delhi, India",Twitter for Android,0,487,797,1
2020-11-17 14:39:00,1328709226097639425,False,"Ban on sale-purchase of paddy, Capt govt failed farmers: AAP
#Punjab 
#AAP 
#farmers
#MeetHayer https://t.co/hQOJi4Bw9Y",uniindianews,"New Delhi, Delhi",TweetDeck,0,2239,0,0
2020-11-17 14:26:25,1328706059037413383,False,"@PreetKaur1998 Lucknow , UP ..

Ha mostly punjab wale aap hi bolte ❤️",utkarshh_UT,Lucknow,Twitter for Android,2,1965,782,0
2020-11-17 14:23:48,1328705401261617154,False,@fawadchaudhry Sir is system ka trail aap AJK election pay kr lay pehly ya punjab local body election pay aur ye aap he ki ministry ka task b hay,Ahad47404408,"Attock, Pakistan",Twitter for Android,1,37,226,0
2020-11-17 14:04:33,1328700555162656770,False,@sayedzbukhari @ImranKhanPTI Sir is system ko aap AJK election or punjab local body election pay Apply kr k trail kr sakty hay ????,Ahad47404408,"Attock, Pakistan",Twitter for Android,0,37,226,0
2020-11-17 13:58:21,1328698997423230977,False,Punjab government responsible for crop damage: AAP https://t.co/0aqJgPMpc3,iyer_sk,India,Twitter Web App,4,1141,783,1
2020-11-17 13:36:13,1328693425609330688,False,"First KPK, then Punjab and Federal now in Gilgit Baltistan upcoming in AJK and next in India.
Pakistan Tehreek Insaf will form the government in India in 2023 by purchasing all electable of BJP.

""Aap ne Ghabrana Nahi Hai"" | #ImranKhan #PM #Subcontinent",ImranXainu,,Twitter for iPhone,0,29,26,0
2020-11-17 12:53:52,1328682770932006912,False,AAP stand by farmers in their struggle against new farm bill : Bhagwant Mann #BreakingNews #Chandigarh #LatestHeadlines #Politics #Punjab #Slider #TodayNews #TopNews #TopStory -https://t.co/1Os8bapyLf https://t.co/fswgh38r4F,Punjabupdate,Chandigarh,PB Update,0,2687,75,0
2020-11-17 11:50:13,1328666750066577408,False,@saket71 This guy is all gas; remember his challenge to Rajdeep about quitting politics if AAP didn’t win Punjab. Absolute idiot!,sharewithsajan,Dubai,Twitter for iPhone,0,256,133,0
2020-11-17 11:46:49,1328665895560900608,False,"JUST IN

AAP says SC &amp; Air Quality Commission should take sue-moto cognizance against Punjab &amp; Haryana Govt for such criminal negligence

Cases should be filed against Punjab &amp; Haryana CM for such criminal negligence of Public Health Emergency due to Stubble Burning : @AtishiAAP https://t.co/WF4wxwGz3Z",DaaruBaazMehta,India,Twitter Web App,171,76625,460,71
2020-11-17 11:29:08,1328661445706272769,False,"Indian Council of Agricultural Research Data exposes Congress Govt of Punjab

Daily cases of Stubble Burning in Punjab in Oct- Nov 2020.

This was criminal negligence which cause Delhi NCR to choke due to smog.

AAP @AtishiAAP Exposes Cong!

PUSA bio-decomposer is the only way! https://t.co/8Y3zEsVlht",DaaruBaazMehta,India,Twitter Web App,106,76625,460,44
2020-11-17 09:43:39,1328634900832915456,False,"@ppbajpai Aren't you shameless? So did EVM decide victory of Khangis in Punjab, Rajasthan, Chattisgarh and Jharkand and AAP in Delhi ? If so, why the hell you kept silent at that time ? First try to know ground realities and be logical. Above all at least keep your PIDIdom within yourself.",vanandca,"TAMIL NADU, INDIA",Twitter Web App,0,804,1869,0
2020-11-17 09:33:09,1328632258723422208,False,"AAP fully supports the farmers' protest rally in Delhi on November 26 and 27. AAP Punjab's entire leadership and volunteers will strongly support the farmers 'organizations and as farmers-laborers will take part in this farmers' protest @BhagwantMann ji
@JarnailSinghAAP https://t.co/xyDgwN2NiL",Gurdeepgurus,,Twitter for Android,21,1052,480,11
2020-11-17 09:14:39,1328627599422017536,False,"https://t.co/ugLV6Rje5y . Since they have made it official, it’s an uphill task for @INCPunjab as it will be against 3 parties with basically the same objective. All these 3 parties @BJP4India + @Akali_Dal_ + @aap and not to forget @Mayawati will be aligning together only",lemmebwhtim,,Twitter for iPhone,0,118,738,0
2020-11-17 05:53:45,1328577043240521737,False,@TonyKakkar Punjab! Aap ye btao next song kab release ke rhe ho? Just curious 😜😍,Sunash71564139,Punjab ,Twitter for Android,3,22,31,0
2020-11-17 04:43:54,1328559465029804033,False,"@DaaruBaazMehta AAP is like shooting star. Parties who move from one gimmick to another cannot survive for long. AAP is already weaning even in Delhi, Punjab. In all other places it is a vote katau, deposit loosing party 😀. 
Politics is never won just by having paid cybercoolies on SM 😀!!",rmkarki,Bangalore,Twitter for Android,3,11,280,0
2020-11-17 04:07:21,1328550268384931841,True,@AAPPunjab: Capt giving patronage to Punjab drug mafia https://t.co/8CGGuQRzov,thetribunechd,Chandigarh,Twitter for Android,0,100467,271,0
2020-11-17 04:07:21,1328550265478209536,True,Punjab government responsible for crop damage: AAP https://t.co/XKRUyv4IxH,thetribunechd,Chandigarh,Twitter for Android,0,100467,271,0
2020-11-16 18:27:12,1328404268261416961,False,"Yes, This is true friends there are about 12K Villages in Punjab
It was assumed that 10 ppl are coming from each village, this way about 1.2 Lak Ppl of Punjab will be 8n Delhi next week
This time its not easy for AAP 8' Punjab
As 70 % ppl in Punjab are farmer &amp; they formed their https://t.co/kMR57gEzOh",OmkarAap,"New Delhi, India",Twitter for Android,4,5165,3378,2
2020-11-16 16:44:02,1328378303015686146,False,@SyedIHusain But who cares for GB... if it were punjab toh abh aap dekte shor sharaba but abhi sareh chup howeh pareh hain,Chiltan,Quetta - Islamabad (Pakistan),Twitter for Android,0,38372,858,0
2020-11-16 16:29:32,1328374656504524800,False,"@SomyajeetS @SS_Info1003 Seems okay.

But, AAP Punjab certainly has a face, a strong face, particularly in malwa region, Bhagwant Mann.",rckstr_rakshit,Delhi,Twitter for Android,0,265,268,0
2020-11-16 16:02:17,1328367798003744768,False,@teambahujan1 @Neelamgautam123 @Kaushal_Sagar03 @kumarlalit232 @Chandreshparmr @Ravi2kant_koli @RahulSant15 @SundreshPrakas6 @RamakantBsp @BorkarBSuraj @KumarSudeshArya @DharamVeerChBSP @ambedkarajay1 @Ex__sarpanch @Bahujan__Voice @PradeepkBsp88 @punjab_bsp Aap to hamare dil me ho... 😘😘,teambhujan_yam0,"kotputli, jaipur ",Twitter for Android,2,1183,1289,0
2020-11-16 15:16:59,1328356397377937408,False,@raghav_chadha Tell me one thing who run away from his promise after Punjab elections. You are such a shameless and third class politician. Never kept your promise to left politics if AAP looses elections in Punjab. AAAAKKK TTHHOOOOO🗣 Chadha tere parr https://t.co/yF68dyD39N,Nareshksachdeva,,Twitter for iPhone,0,467,226,0
2020-11-16 15:13:11,1328355442217644033,False,"@sandeepn9ne @raghav_chadha This guy said that he will renounce politics if the AAP does not come to power in, I think, Punjab. He does not respect his own words also! What to expect of these aaptards...",_kyunrious,,Twitter for Android,3,59,941,1
2020-11-16 14:59:37,1328352028075016198,False,"@Girishbharath @Saikarthik1jeg @kiranjune1976 @Chinmay_AAP @AAPBangalore @AamAadmiParty @aapkaprithvi @AAP4KA @basavarajsm_ @Vikash_Shukla_ @CitizenKamran @romibhati @MohanDasari_ If that is so why Congress didn't transfer votes in Punjab, Goa, MP? Cong couldn't form govt in Goa and couldn't keep it in MP.

Kid your logic fails. Actually no logic there.

Transferred votes it seems 😂😂",byraghavk,"Bengaluru, India",Twitter for Android,0,563,780,0
2020-11-16 14:17:16,1328341370914922498,False,"AP Ji - BJP has smartly quarantined and locked AAP virus in Delhi which isn’t even a state 😂😂😂

Kejriwal flopped in Punjab with jamanat japts all over the place 

Less spoken the better about in Goa, Karnataka etc

Kejriwal is a virat Hindu now 😂😹🤦🏽‍♂️🤦🏽‍♂️😇 https://t.co/4mrR7Mky7A",v2l2b2,,Twitter for iPhone,47,7215,3948,10
2020-11-16 14:00:59,1328337273146916865,False,Farmer suicides multiplied under Captain rule: AAP #Farmer #AAP https://t.co/U0oXweXhLC,thehawk,India,Hocalwire Social Share,0,2169,798,0
2020-11-16 13:40:01,1328331996238475270,False,"@ashi_always @veenavenugopal @ReallySwara Paralli kahan jalti hai up and punjab mein na bhakt again im saying it's a national issue Aap is responsible for illegal industries in delhi , up mein both industries n paralli n same with punjab. So bhakt ankhen kholo if you want to criticize bda ke lo 3 party t maza ayega",saurabh24,"Mumbai, India",Twitter for Android,0,383,271,0
2020-11-16 13:10:17,1328324514053120000,False,"@ajitdatta During last Punjab assembly election @raghav_chadha had said he would ""leave politics"" if AAP won fewer than 85 seats in Punjab. Unsurprisingly, Chadha didn't face the media for months altogether after the result came out. To be a politician you have to be shameless, isn't it",SamadderSwapan,Kolkata,Twitter for Android,0,28,335,0
2020-11-16 12:46:16,1328318467905265664,False,#Suicides by farmers have multiplied during the present Captain-led government's rule: AAP #CaptainledGovernment #BreakingNews #LatestHeadlines #Politics #Punjab #TodayNews #TopNews #TopStory -https://t.co/CeJIfB5gwb https://t.co/BLhqC21ITw,Punjabupdate,Chandigarh,PB Update,0,2687,75,0
