Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 16:07:53,1330181145577844739,False,"@rkhuria2 Yes. Congress should become active now. May be, they should convince Trinamul to go for a seat sharing discussion, a need of the scenario prevalent in West Bengal. It is difficult for both Congress &amp; TMC, but I think BJP’s massive efforts for the last 4 yrs need to be stymied",asqdri,,Twitter for iPhone,3,325,450,0
2020-11-21 14:52:34,1330162190649856009,False,"Kapil Sibal also knows, Congress is also losing West Bengal, watch dalla @sardesairajdeep Interview 😂 https://t.co/mMjRJBxFeA",shekharmcs, India,Twitter for Android,25,8327,7275,11
2020-11-21 14:51:34,1330161941222920195,False,"By your definition, Hitler should be Indira Gandhi. Only change is RSS BJP raised as a counter defensive force against the Nazism run country as UK-ISI/Vatican  government by congress fighting the genocide of innocent Hindus during partition cow slaughter agitation and Bengal . https://t.co/wVDe4MXrOd",buvii,"Down the sky, Over the Earth",Twitter for iPhone,1,388,685,0
2020-11-21 14:08:28,1330151095923040263,False,"BJP has initiated their campaign in bengal, TMC has hired agency  &amp; looks to somehow bring things on track while @congress has no strategy ( at-least not visible on ground) , no leaders , no cadres even no intrest  ....
Seems waiting for anti incumbency miracles 🤔
@RahulGandhi",JharkhandVikas,Ranchi l New Delhi l Kolkata,Twitter for iPhone,1,901,234,1
2020-11-21 13:48:21,1330146030457933827,False,"Prediction for Bengal 2021: BJP will emerge as the No. 2 party in the state. Mamata will become CM for 3rd time with Congress, left and Owaisi support. Lutyens will declare it a defeat for Modi and project Mamata as PM material. Opposition will demand Modi's resignation.",RuchirRMM,"Mumbai, India",Twitter for Android,4,2396,220,0
2020-11-21 13:26:36,1330140558732488706,False,"Left destroyed west Bengal in 34 Years 

Congress &amp; Left destroying Kerala now one by one !! https://t.co/mY8XReIpNM",Humanity9999999,"Mumbai, India",Twitter for iPhone,0,332,900,0
2020-11-21 13:23:20,1330139736837664772,False,I really feel disappointed the way Congress is functioning today. The top leadership should have been now working on Bengal and Tamil Nadu polls but it looks like they are not interested in winning elections. If that the case they should cease to be a political party.,Poornima792,,Twitter for Android,1,40,47,0
2020-11-21 13:20:46,1330139090336030722,False,@LambaAlka @INCAssam @INCIndia Hope so next year congress won kerala tamil nadu assam n bengal,ahram_ahmed,Udaipur India,Twitter for Android,1,66,86,0
2020-11-21 13:05:43,1330135302065754124,False,"@chandrachurg Truth is while Netaji was a Bengali , no political leader from Bengal whether Congress or Communists ever tried to promote Netaji as the ideological fountainhead but instead revered every opposer of Netaji . Now Trinamool is showing some courage but it needs to become ideological",sid_deshmuk,,Twitter for Android,0,49,128,0
2020-11-21 12:58:44,1330133546296598529,False,"@INCWestBengal Keep it up Friends, we the Congress should be the main opposition party in West Bengal, don't let BJP occupies the role of opposition in WB.

#CongressForBengal",SM_Bishnoi,India,Twitter for Android,7,1405,850,1
2020-11-21 12:12:37,1330121941324328960,False,"Congrats Congis, your leader in parliament Adhir Ranjan Chowdhury would be satisfied if like in UP Bihar Congress candidates are able to secure only one to five percent votes in west bengal elections. @INCIndia #aajtak https://t.co/FF3mRdC3vJ",Ramsewak,Mumbai,Twitter for Android,0,677,1395,0
2020-11-21 11:42:19,1330114316134207488,False,"@EnlightenTelan1 @Arvindharmapuri Joker Of Country😂😂

*Last Congress Govts in*

Tamil Nadu - 1967 (53yrs)
West Bengal - 1977 (43yrs)
Sikkim - 1984 (36yrs)
Uttar Pradesh - 1989 (31yrs)
Bihar - 1990 (30yrs)
Tripura - 1993 (27yrs)
Gujarat - 1995 (25yrs)
Orissa - 2000 (20yrs)
This demon dying its own death.",Arun87333605,,Twitter for iPhone,11,57,1116,1
2020-11-21 11:29:23,1330111060846800899,False,"@AnilBhauHindSWa Lot of people supported Khilafat. But learnt lessons after massacre of Hindus in Kerala &amp; elsewhere

Except Gandhi &amp; his toadies

In Bengal, the Congress (esp the Karmi sangha made up of former revolutionaries who supported Bose from 1924-25 onwards) opposed Mullah appeasement.",Aban__Ind,,Twitter for Android,4,1036,228,1
2020-11-21 11:22:48,1330109400787390468,False,Tell your papa to break the alliance with Communist and fight  the election alone in West Bengal.  Mark my word congress won't get more than 5 seats without alliance. https://t.co/kuKNbHPnMf,Sanwarnathsfi,Rajasthan,Twitter for Android,5,1829,1717,0
2020-11-21 11:13:56,1330107169686040578,False,"With Bengal elections round the corner, the Left parties are piling pressure on the Congress to get its house in order, develop ideological clarity and do a reality-check even as the two sides have had one round of preliminary talks on poll strategy.",RajKeplerhume,,Twitter for Android,6,1906,2785,1
2020-11-21 11:07:05,1330105447597158400,False,@asifahmedapt @rohini_sgh Not you Rohini mocked him for this na. Your concerns are well placed. Congress leaders should definitely be on ground in Bengal by now.,Ghazala2402,"New Delhi, India",Twitter for Android,2,2183,679,0
2020-11-21 11:05:12,1330104974215352327,False,"The Bhadrolok of Bengal have supported the British, then Congress, then CPM and now TMC.

They are nervous because BJP has not offered them any compromise so far.

https://t.co/fg4DOaHCDE",AbhishBanerj,"Bengaluru, India",Twitter Web App,159,30859,1113,34
2020-11-21 11:05:09,1330104959053017089,False,"@Ghazala2402 @rohini_sgh Nobody is mocking for this.
Why he and Congress is not on ground before amit shah in bengal??
 Is this how you think people will change perception about him?",asifahmedapt,,Twitter for Android,2,828,497,0
2020-11-21 11:01:26,1330104027133206528,False,"BJP: Mission Bengal, Mission Hyderabad, Mission Tamil Nadu

Congress: Mission Rahul Gandhi 

😁😁",KunalGangal1,"Thane, India",Twitter for Android,4,547,2592,0
2020-11-21 10:42:27,1330099248537473024,False,"Watch ""Cracks Widen Within Congress As Leaders Disagree With Top Brass On West Bengal Poll Strategy"" on YouTube https://t.co/4GevHNOwhh",RVanchipalam,Kuwait,Twitter Web App,0,5,13,0
2020-11-21 10:06:31,1330090204049371139,False,Bengal's UC left liberals suddenly holding Mamata alone responsible for the rise of competitive communalism in Bengal are so naive to acknowledge that it is the birthplace of many 'firebrand' caste hindu/hindutva leaders of Congress and Jan Sangh variations.,subhajit_n,Kolkata,Twitter for Android,40,1774,1262,6
2020-11-21 09:50:56,1330086282857492486,False,@AroraKm @aryandrozario @vikramaditya_JK @sardesairajdeep Sind Punjab&amp; Bengal were partitioned on religious basis. Kashmir too could have been partitioned in same way.Let'sgive credit to Maharaja desn.He felt despite Muslim majority state will be better off in India led by secular Congress than Pak.Abdullah&amp; People too trusted.370.,MadanKandal3,"Shamla Hills, Bhopal",Twitter for Android,0,103,326,1
2020-11-21 09:26:08,1330080041041088514,False,@rohini_sgh Congress is losing trust. Only Rahul Gandhi is taking all the decisions. Better vote TMC n CPM in Bengal.,Shoeb24in,"Maharashtra, India",Twitter for Android,1,356,715,0
2020-11-21 09:06:22,1330075067653509122,False,@sardesairajdeep @KapilSibal @IndiaToday One of the best discussions ever heard. Can't these 23 members walk out and show who represent real Congress. Mamata did it in Bengal. Today even a big BJP supporter wants strong opposition but Rahul is unacceptable,deepanjanjha,,Twitter for Android,0,8,166,0
2020-11-21 09:00:33,1330073602901872640,False,"Sorry 18 yrs ago not 12

And also same thing is in Bengal 

They are well funded and relentless  .. I really have my doubts how Rahul Gandhi will be able to compete  .. didn't see any Congress office both in North Bengal and Sikkim 

In fact haven't seen one in Navi Mumbai even",TheBombayBombil,Navi Mumbai ,Twitter Web App,3,4594,999,0
2020-11-21 08:55:41,1330072381528936450,False,"In any case state leadership is crucial.. Ashok gehlot won in Rajasthan.. Of course it's congress failure that no local leadership is developed in TN, Bihar, Bengal, some other states.. In MP congress had pulled off with KamalNath but lost after formation.. https://t.co/rsl6toQDDR",smadygo,India,Twitter for Android,1,1749,1741,0
2020-11-21 08:49:33,1330070836728958982,False,"Bengal was the collateral damage of the egoistic and power fight between Nehru and Jinnah. Jinnah wanted east Bengal only for exploitation, Nehru didn't care for Bengalis bcs congress was weakest in Bengal, bcs of its strong Hindu conscious. @KanchanGupta",meri_haar,,Twitter for Android,0,3,5,0
2020-11-21 08:21:26,1330063759646330880,True,"Amid speculation has claimed that Trinamool Congress’s Saugata Roy is likely to resign from the party with four other MPs
https://t.co/WGtp0S4mW8",IndiaToday,India,Twitter Web App,35,5419979,245,8
2020-11-21 08:07:01,1330060133204971523,False,@RightThingto @BJP4India @JPNadda Kerala is not a communist state like West Bengal or Tripura. It has been ruled alternatively by LDF (Cpi(m)+Cpi+Ncp+Jd(s)+... coalition) and UDF (Congress+IUML+KC(M)+RSP+...) for each five year.,AkmalHashimK1,,Twitter Web App,0,0,1,0
2020-11-21 07:50:34,1330055994446139394,False,@RahulGandhi aap twitter par tweet krne ke alawa kuch nhi krte.Stay in Bengal for 4-5 month and make Congress win.,ShivSha04146930,,Twitter Web App,0,1,104,0
2020-11-21 07:50:20,1330055932684996612,False,@satya_kg @rohini_sgh Why to abuse her ? What wrong is she saying? Why @RahulGandhi is not concerned about BENGAL ? what about UP where is @priyankagandhi ? I am a staunch congressi but these leaders have actually destroyed congress !!!,brigado_deba,,Twitter Web App,8,429,618,1
2020-11-21 07:22:39,1330048966302560256,False,@AyushForIndia @SherifGab I'm here in west bengal so when people voted for Mamata in 2011 they shifted votes just ti defeat left? And we don't have workers on 20000+ booths so who campaigned?😂😂 Congress doesn't have means BJP also won't have? Go get your brain checked.,pipette_poddar,,Twitter for Android,1,250,377,0
2020-11-21 07:21:06,1330048577037594625,False,"@SaffronDalit @KDharmapuri When Kushboo joined BJP I tweeted this

It is a matter of life and death

We cant afford to be choosy

If BJP has breached TRIPURA AND WEST BENGAL, it is only by generously accommodating CPM and Congress cadre

We have to follow the same strategy here

We need to be practical",GANESAN56495862,,Twitter Web App,4,125,792,1
2020-11-21 07:12:25,1330046393260650496,False,"Last Congress Government 
 Tamil Nadu 1967 53 years 
 West Bengal 1977 43 years  
  Sikkim   1984  36 years.      
  Uttar Pradesh 1989 31 yrs 
   Bihar 1990 30 years         
   Gujarat 1995 25 years.      
    Odisha 2000 20 years.       
     Jammu and Kashmir 2008 12 years",Satyanewshi,"Hobart , 🇦🇺",Twitter Web App,105,14205,260,23
2020-11-21 07:12:14,1330046347383332864,False,". @cpimlliberation's chief noted the alliance between #CPIM and #Congress had benefited the latter more

https://t.co/FFrpxzHYwU",TheWeekLive,India,Twitter Web App,50,22760,260,14
2020-11-21 07:02:41,1330043943254417409,False,@CPIM_WESTBENGAL No work culture strikes etc.have made Bengal the hell and make China richer to get funds for https://t.co/qzbZUS9wg3 however manipulate the Bengal has seen communist and Mamta Now it's turn of BJP.The people should not vote the piddis and agent of China congress communist TMC.,anilkdub,"Valsad, India",Twitter for Android,0,698,1130,0
2020-11-21 06:36:10,1330037270561378305,False,"It's not that only BJPs workers get killed in Bengal. Workers of Congress, Communists also get killed by TMC goons. But it's the only BJP which raise voice for its Karyakartas. Others stay mum in front of real Fascism.",Amit_knc,"New Delhi, India",Twitter Web App,0,1020,197,0
2020-11-21 06:34:36,1330036872857464832,False,"Outcome of Bengal election will hinge upom
1. BJP projectung itself as a party of change 
2. Religious polarisation with BJP accusing Ms Banerjee of minority appeasement and political violence
3. Left, Congress, and possibly Owaisi’s formation https://t.co/h3MI52eREz",asli_mundel,पाताल लोक,Twitter for Android,0,43,707,1
2020-11-21 06:31:30,1330036096630214660,False,"@rohini_sgh The major problem of Congress. They need to be on ground, elections are not fought on Twitter. Amit Shah has visited West Bengal and now Tamil Nadu. Meanwhile, No Cong Biggies on ground. And then passing the blame on others after losing.",iKanishk_,India,Twitter for Android,1,35,162,0
2020-11-21 06:06:43,1330029856197906432,False,"Those who helped BJP to expand it's base by aligning are ironically blaming Congress for spreading communalism.
TMC- Bengal
BJD- Orissa
ADMK -TamilNadu
TRS -Telangana
JDS-Karnataka
ShivSena- Maharashtra
AkaliDal-Punjab
JDU-Bihar
NC- J&amp;K
They weakened the communal harmony not INC",Binod1048,India,Twitter for Android,2,5528,4799,1
2020-11-21 06:03:10,1330028962291081217,False,@TheMukeshK Nikamma chief minister nahin log hote hain. Bihar people have shown their wisdom. West bengal should show wisdom. Otherwise Punjab population is now realising bringing Congress as the state is getting to become like bihar in few months. Educate people !!!,YashminderBans2,,Twitter for Android,0,69,184,0
2020-11-21 05:53:16,1330026471931465728,False,@MehekF @KibaVenisha TMC also. One point program to finish congress at West bengal.,RUDRANARAYANLA3,Kolkata /Gangtok ,Twitter for Android,2,196,356,0
2020-11-21 05:50:14,1330025710468141056,False,"@Seemanish2005 @ShwetaG67397269 @pradip103 Congress may withdraw support 
They have to face muslim voters in Kerela and west Bengal 

How can congress face owasi and muslim league question if they continue with shiv sena ।

By Dec or early Jan ।। It should be out in the market",NationalistVoi3,India,Twitter for Android,0,619,662,0
2020-11-21 05:16:20,1330017179396235264,False,"@karthikck31 @Forestz_1 @TheHariprasad @Abhina_Prakash Similar in West Bengal 🤠
Before 2011 the most of the Right voted for Trinamool or Congress to throw out left from the government.",RealManasBose,Bharat,Twitter for Android,0,141,247,0
2020-11-21 05:13:20,1330016422412468224,False,@JPNadda @narendramodi BJP has shown strength with its Development &amp; People's support in Easters States.BJP will rule West Bengal.Follow the slogan Congress Mukt Bharat followed by TMC mukt West Bengal.,pnavelkar1,"Goa, India",Twitter for Android,3,8,48,0
2020-11-21 04:50:28,1330010669320609797,False,"Minister Babul Supriyo warned that the Trinamool Congress should mend its way &amp; desist from ""intimidating voters"", otherwise there are provisions in the Constitution to take care of such things.

He alleged that more than 130 BJP workers have been killed in West Bengal.",vijaythakurx,GREATER NOIDA,Twitter Web App,0,498,664,0
2020-11-21 04:46:47,1330009741574111234,False,"@Sumit22261720 @SobhanaNair @SitaramYechury Nope. Congress are in alliance with the Left. So it will be a 3 cornered election in Bengal this time. 4, if you count AIMIM.",davids239,Versova,Twitter for Android,0,56,101,0
2020-11-21 04:41:00,1330008285332705281,True,"With Bengal elections round the corner, the Left parties are piling pressure on the Congress to get its house in order, develop ideological clarity and do a reality-check even as the two sides have had one round of preliminary talks on poll strategy https://t.co/Cpy5afUFT1",ttindia,"Kolkata, India",TweetDeck,15,224574,75,2
2020-11-21 01:43:04,1329963509254242305,False,"@adhirrcinc Sir your love and devotion is highly appreciated, we would love to see that reflected in the form of a victory on the ground, 
Win Bengal first sir, then all your loud words of love for leader will make real sense.
We all want to see a victory for Congress it's your time to act",ShibuVarkey_dr,India,Twitter for Android,0,1303,1267,0
2020-11-21 01:23:34,1329958598974160896,False,So it appears that the nephew has stolen a march over someone with over 24 yrs of political experience &amp; trusted till recently. No democratic minded person likes dynastic politics. That is the chink in Trinomul Congress. (1/2) @AITCofficial https://t.co/MZK1JfwrDz,TapasBan1,,Twitter for Android,0,5,128,0
